question_id	question_rank	document_title	paragraph_index
1	1	Russian_Soviet_Federative_Socialist_Republic	27
1	2	Protestantism	18
1	3	Russian_Soviet_Federative_Socialist_Republic	12
1	4	Franco-Prussian_War	51
1	5	Russian_Soviet_Federative_Socialist_Republic	6
4	1	Carnival	46
4	2	Greeks	38
4	3	Oklahoma_City	68
4	4	Nintendo_Entertainment_System	39
4	5	Institute_of_technology	12
7	1	Beyoncé	16
7	2	Beyoncé	54
7	3	Beyoncé	64
7	4	Beyoncé	14
7	5	Beyoncé	50
10	1	Roman_Republic	26
10	2	Armenia	27
10	3	Roman_Republic	45
10	4	San_Diego	43
10	5	Madrasa	29
13	1	Dominican_Order	27
13	2	Lighting	46
13	3	Sahara	12
13	4	Jehovah%27s_Witnesses	24
13	5	Zhejiang	19
16	1	Oklahoma_City	11
16	2	Planck_constant	19
16	3	New_York_City	37
16	4	Houston	10
16	5	Israel	39
19	1	Oklahoma_City	71
19	2	BeiDou_Navigation_Satellite_System	14
19	3	Xbox_360	4
19	4	Xbox_360	10
19	5	Xbox_360	24
22	1	Neptune	28
22	2	Unicode	17
22	3	Multiracial_American	15
22	4	MP3	39
22	5	Asthma	4
25	1	Everton_F.C.	23
25	2	CBC_Television	8
25	3	East_Prussia	23
25	4	Marshall_Islands	13
25	5	Szlachta	4
28	1	Friedrich_Hayek	1
28	2	New_Delhi	8
28	3	Friedrich_Hayek	19
28	4	British_Empire	9
28	5	Philadelphia	38
31	1	Royal_assent	11
31	2	Sahara	7
31	3	Near_East	2
31	4	Immaculate_Conception	16
31	5	Protestantism	33
34	1	New_York_City	30
34	2	The_Bronx	7
34	3	New_York_City	119
34	4	General_Electric	15
34	5	New_York_City	0
37	1	Hellenistic_period	74
37	2	Federal_Bureau_of_Investigation	31
37	3	Federal_Bureau_of_Investigation	26
37	4	Szlachta	50
37	5	Dutch_Republic	11
40	1	Zinc	18
40	2	Poultry	12
40	3	Zinc	30
40	4	Zinc	28
40	5	Zinc	2
43	1	University	24
43	2	Madrasa	14
43	3	University	26
43	4	Middle_Ages	55
43	5	The_Times	46
46	1	Crimean_War	50
46	2	Alsace	1
46	3	Iran	35
46	4	Madrasa	5
46	5	British_Isles	21
49	1	The_Blitz	11
49	2	Greece	11
49	3	Estonia	4
49	4	Middle_Ages	34
49	5	Greece	50
52	1	BeiDou_Navigation_Satellite_System	29
52	2	BeiDou_Navigation_Satellite_System	2
52	3	Immunology	2
52	4	BeiDou_Navigation_Satellite_System	6
52	5	Indigenous_peoples_of_the_Americas	42
55	1	Sony_Music_Entertainment	17
55	2	Classical_music	39
55	3	Sony_Music_Entertainment	23
55	4	Utrecht	3
55	5	Middle_Ages	77
58	1	Software_testing	2
58	2	Athanasius_of_Alexandria	30
58	3	Buddhism	83
58	4	Antenna_(radio)	72
58	5	Professional_wrestling	44
61	1	Gramophone_record	28
61	2	Gramophone_record	29
61	3	Gramophone_record	19
61	4	High-definition_television	0
61	5	Gramophone_record	23
64	1	Russian_Soviet_Federative_Socialist_Republic	18
64	2	Russian_Soviet_Federative_Socialist_Republic	20
64	3	Russian_Soviet_Federative_Socialist_Republic	16
64	4	Tajikistan	13
64	5	Russian_Soviet_Federative_Socialist_Republic	17
67	1	Charleston,_South_Carolina	4
67	2	Montana	4
67	3	Washington_University_in_St._Louis	31
67	4	Planck_constant	16
67	5	Tuvalu	51
70	1	Classical_music	15
70	2	IPod	49
70	3	Antarctica	21
70	4	New_York_City	83
70	5	Charleston,_South_Carolina	32
73	1	Association_football	5
73	2	The_Blitz	14
73	3	The_Blitz	4
73	4	Airport	21
73	5	Alexander_Graham_Bell	64
76	1	London	48
76	2	Miami	41
76	3	Philosophy_of_space_and_time	7
76	4	Film_speed	24
76	5	Railway_electrification_system	15
79	1	Hanover	6
79	2	Mexico_City	46
79	3	Himachal_Pradesh	13
79	4	Greece	40
79	5	Hanover	14
82	1	Canadian_Armed_Forces	41
82	2	Paris	40
82	3	Raleigh,_North_Carolina	22
82	4	Cyprus	56
82	5	Computer	8
85	1	Old_English	6
85	2	Ottoman_Empire	63
85	3	Cubism	30
85	4	Cyprus	43
85	5	Aspirated_consonant	25
88	1	Spanish_language_in_the_United_States	11
88	2	Affirmative_action_in_the_United_States	25
88	3	Great_power	10
88	4	Antibiotics	16
88	5	United_States_dollar	11
91	1	Pharmaceutical_industry	35
91	2	Great_power	19
91	3	Age_of_Enlightenment	6
91	4	Gene	28
91	5	Group_(mathematics)	10
94	1	Estonian_language	14
94	2	Oklahoma	37
94	3	Southern_Europe	21
94	4	Namibia	31
94	5	Sanskrit	0
97	1	Diarrhea	13
97	2	Time	27
97	3	USB	40
97	4	Infection	6
97	5	Time	28
100	1	Sino-Tibetan_relations_during_the_Ming_dynasty	8
100	2	Middle_Ages	40
100	3	Literature	9
100	4	Madrasa	5
100	5	Heresy	7
103	1	Richmond,_Virginia	5
103	2	Circadian_rhythm	5
103	3	Crimean_War	46
103	4	Napoleon	41
103	5	Modern_history	57
106	1	Child_labour	56
106	2	Paris	40
106	3	Child_labour	57
106	4	Child_labour	5
106	5	Gymnastics	18
109	1	Classical_music	53
109	2	New_Delhi	19
109	3	Near_East	44
109	4	Professional_wrestling	1
109	5	History_of_science	0
112	1	Queen_Victoria	28
112	2	YouTube	32
112	3	2008_Sichuan_earthquake	67
112	4	Financial_crisis_of_2007%E2%80%9308	14
112	5	Political_corruption	20
115	1	Hunting	34
115	2	Separation_of_church_and_state_in_the_United_States	27
115	3	Switzerland	26
115	4	Boston	4
115	5	Geological_history_of_Earth	12
118	1	Institute_of_technology	55
118	2	Botany	30
118	3	Endangered_Species_Act	25
118	4	Railway_electrification_system	28
118	5	Catalan_language	23
121	1	Aspirated_consonant	6
121	2	Zinc	2
121	3	Compact_disc	1
121	4	Zinc	32
121	5	Zinc	20
124	1	Hunting	14
124	2	National_Archives_and_Records_Administration	19
124	3	Hyderabad	18
124	4	Switzerland	67
124	5	Egypt	48
127	1	Bern	45
127	2	Capacitor	7
127	3	Light-emitting_diode	15
127	4	Anthropology	24
127	5	Hokkien	7
130	1	Bird_migration	55
130	2	Slavs	33
130	3	Slavs	35
130	4	Detroit	26
130	5	Catalan_language	50
133	1	Portugal	2
133	2	Richmond,_Virginia	4
133	3	Supreme_court	10
133	4	Late_Middle_Ages	15
133	5	Heian_period	14
136	1	Hunter-gatherer	23
136	2	Greece	78
136	3	Modern_history	60
136	4	Hyderabad	36
136	5	Ottoman_Empire	64
139	1	United_States_Air_Force	20
139	2	Athanasius_of_Alexandria	0
139	3	United_States_Air_Force	28
139	4	Nanjing	16
139	5	The_Blitz	34
142	1	Carnival	25
142	2	New_York_City	145
142	3	Gothic_architecture	31
142	4	Group_(mathematics)	26
142	5	Crucifixion_of_Jesus	12
145	1	Buddhism	114
145	2	Paris	40
145	3	Kathmandu	50
145	4	Kathmandu	16
145	5	Buddhism	79
148	1	Montevideo	39
148	2	Energy	8
148	3	Institute_of_technology	65
148	4	Energy	11
148	5	The_Times	47
151	1	Sahara	1
151	2	American_Idol	58
151	3	Szlachta	55
151	4	Chihuahua_(state)	62
151	5	Sahara	19
154	1	History_of_science	11
154	2	Alps	25
154	3	Protestantism	17
154	4	Mosaic	24
154	5	Utrecht	3
157	1	Paper	10
157	2	Buddhism	23
157	3	Textual_criticism	6
157	4	United_States_Air_Force	18
157	5	Insect	26
160	1	Bras%C3%ADlia	21
160	2	Incandescent_light_bulb	17
160	3	Alloy	10
160	4	Ann_Arbor,_Michigan	22
160	5	Saint_Barth%C3%A9lemy	8
163	1	Estonia	30
163	2	United_States_Army	3
163	3	History_of_India	0
163	4	Hyderabad	10
163	5	Sahara	0
166	1	Orthodox_Judaism	21
166	2	New_York_City	0
166	3	New_York_City	14
166	4	New_Haven,_Connecticut	0
166	5	Multiracial_American	36
169	1	Department_store	26
169	2	Muammar_Gaddafi	58
169	3	Greeks	20
169	4	Muammar_Gaddafi	46
169	5	Mosaic	56
172	1	Dutch_Republic	3
172	2	Portugal	9
172	3	Separation_of_powers_under_the_United_States_Constitution	2
172	4	Protestantism	18
172	5	History_of_science	41
175	1	Royal_Institute_of_British_Architects	15
175	2	Eton_College	34
175	3	Asphalt	35
175	4	Genome	11
175	5	PlayStation_3	32
178	1	New_Haven,_Connecticut	10
178	2	New_Haven,_Connecticut	41
178	3	New_Haven,_Connecticut	42
178	4	New_Haven,_Connecticut	43
178	5	New_Haven,_Connecticut	3
181	1	The_Bronx	52
181	2	Insect	15
181	3	Philadelphia	37
181	4	Lancashire	8
181	5	The_Bronx	4
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	11
184	3	Dissolution_of_the_Soviet_Union	0
184	4	Molotov%E2%80%93Ribbentrop_Pact	40
184	5	Dissolution_of_the_Soviet_Union	64
187	1	The_Times	30
187	2	Dialect	41
187	3	Catalan_language	75
187	4	Adolescence	74
187	5	Catalan_language	42
190	1	New_York_City	18
190	2	Raleigh,_North_Carolina	2
190	3	Military_history_of_the_United_States	10
190	4	United_States_Army	4
190	5	British_Isles	23
193	1	Carnival	6
193	2	Carnival	7
193	3	Philadelphia	39
193	4	Plymouth	58
193	5	The_Times	2
196	1	Tibet	5
196	2	Yale_University	42
196	3	2008_Summer_Olympics_torch_relay	18
196	4	Sahara	10
196	5	Korean_War	49
199	1	San_Diego	29
199	2	San_Diego	27
199	3	San_Diego	38
199	4	Department_store	38
199	5	San_Diego	30
202	1	Alexander_Graham_Bell	54
202	2	Melbourne	42
202	3	Pesticide	22
202	4	Insect	10
202	5	Oklahoma_City	33
205	1	Westminster_Abbey	34
205	2	Cyprus	58
205	3	Alps	69
205	4	Richmond,_Virginia	25
205	5	European_Central_Bank	4
208	1	Serbo-Croatian	3
208	2	Canon_law	0
208	3	Crimean_War	11
208	4	Canon_law	3
208	5	Richmond,_Virginia	23
211	1	John_Kerry	12
211	2	Samoa	6
211	3	American_Idol	56
211	4	Mary_(mother_of_Jesus)	0
211	5	Sino-Tibetan_relations_during_the_Ming_dynasty	29
214	1	Catalan_language	44
214	2	Punjab,_Pakistan	2
214	3	Philosophy_of_space_and_time	23
214	4	Crimean_War	50
214	5	British_Isles	20
217	1	Tajikistan	7
217	2	Cubism	30
217	3	Gothic_architecture	0
217	4	Tennessee	9
217	5	Architecture	6
220	1	Adolescence	33
220	2	Dominican_Order	27
220	3	Bird	32
220	4	Hindu_philosophy	9
220	5	Uranium	8
223	1	Mandolin	38
223	2	Egypt	59
223	3	Mandolin	36
223	4	Communications_in_Somalia	21
223	5	Comcast	15
226	1	Saint_Helena	38
226	2	Pub	76
226	3	Videoconferencing	17
226	4	Presbyterianism	36
226	5	Kathmandu	19
229	1	Protestantism	18
229	2	History_of_India	0
229	3	Hellenistic_period	93
229	4	Freemasonry	25
229	5	Russian_Soviet_Federative_Socialist_Republic	27
232	1	Estonia	30
232	2	Police	7
232	3	Mosaic	24
232	4	Near_East	3
232	5	East_Prussia	0
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	Zinc	6
235	3	Near_East	46
235	4	Zinc	2
235	5	List_of_numbered_streets_in_Manhattan	1
238	1	Hanover	0
238	2	Queen_Victoria	4
238	3	The_Bronx	6
238	4	Portugal	11
238	5	Melbourne	11
241	1	Switzerland	60
241	2	Greece	50
241	3	Punjab,_Pakistan	21
241	4	Elizabeth_II	10
241	5	Josip_Broz_Tito	49
244	1	University	14
244	2	Department_store	22
244	3	North_Carolina	57
244	4	Plymouth	40
244	5	New_Haven,_Connecticut	23
247	1	Insect	15
247	2	Montana	30
247	3	Flowering_plant	21
247	4	Antarctica	38
247	5	Antarctica	11
250	1	John_Kerry	46
250	2	United_States_Army	20
250	3	Plymouth	78
250	4	John_Kerry	3
250	5	Saint_Helena	58
253	1	Crimean_War	11
253	2	Communications_in_Somalia	5
253	3	History_of_science	52
253	4	Samurai	14
253	5	Universal_Studios	20
256	1	Gothic_architecture	34
256	2	Modern_history	57
256	3	Ottoman_Empire	32
256	4	Late_Middle_Ages	18
256	5	Switzerland	8
259	1	John_von_Neumann	32
259	2	Dutch_language	27
259	3	Anti-aircraft_warfare	68
259	4	Dutch_language	7
259	5	Federal_Bureau_of_Investigation	13
262	1	Montevideo	13
262	2	Republic_of_the_Congo	33
262	3	Protestantism	11
262	4	Cyprus	23
262	5	Crimean_War	35
265	1	Dog	27
265	2	Dog	66
265	3	Dog	50
265	4	Roman_Republic	76
265	5	God	22
268	1	St._John%27s,_Newfoundland_and_Labrador	22
268	2	St._John%27s,_Newfoundland_and_Labrador	9
268	3	Group_(mathematics)	10
268	4	Gene	28
268	5	Pharmaceutical_industry	35
271	1	Mexico_City	40
271	2	Mexico_City	0
271	3	Mexico_City	7
271	4	Utrecht	15
271	5	Raleigh,_North_Carolina	0
274	1	LaserDisc	40
274	2	Federal_Bureau_of_Investigation	35
274	3	Capital_punishment_in_the_United_States	38
274	4	Yale_University	45
274	5	Aspirated_consonant	2
277	1	Westminster_Abbey	32
277	2	Paris	58
277	3	Slavs	29
277	4	Slavs	12
277	5	Antenna_(radio)	59
280	1	Ottoman_Empire	32
280	2	Prime_minister	7
280	3	Dutch_Republic	11
280	4	Ottoman_Empire	33
280	5	American_Idol	80
283	1	Detroit	38
283	2	Chihuahua_(state)	3
283	3	Chihuahua_(state)	23
283	4	Bras%C3%ADlia	21
283	5	British_Isles	15
286	1	East_India_Company	30
286	2	Dutch_Republic	15
286	3	East_India_Company	24
286	4	Saint_Helena	8
286	5	Cotton	5
289	1	John_Kerry	46
289	2	Steven_Spielberg	3
289	3	John_Kerry	3
289	4	Anti-aircraft_warfare	19
289	5	Kathmandu	23
292	1	Raleigh,_North_Carolina	9
292	2	North_Carolina	54
292	3	Oklahoma_City	65
292	4	North_Carolina	48
292	5	Everton_F.C.	10
295	1	Southeast_Asia	11
295	2	Armenia	33
295	3	Wood	49
295	4	Quran	41
295	5	Age_of_Enlightenment	66
298	1	Cyprus	46
298	2	Cyprus	43
298	3	Saint_Helena	4
298	4	United_Nations_Population_Fund	9
298	5	Comcast	15
